id,title,avgscore,areaname,backCateName
51180722,星巴克（北京天星街店）,4.5,良乡,咖啡厅
282302,星巴克（北京远洋天地店）,4.3,大望路,咖啡厅
1567717440,星巴克（北京首钢六工汇店）,4.3,石景山区,咖啡厅
85208026,星巴克（北京南站第三店）,4.1,北京南站/开阳里,咖啡厅
182443946,星巴克（北京文化园西路店）,4.2,亦庄,咖啡厅
187619125,星巴克（北京麒麟社店）,4.5,望京,咖啡厅
893434331,星巴克（北京金安环宇荟店）,4.4,苹果园,咖啡厅
179958224,星巴克（北京久敬庄路店）,4.4,旧宫,咖啡厅
887678611,星巴克（北京润枫嘉尚NOW店）,4.5,十里堡,咖啡厅
175354495,星巴克（北京滨河路店）,4.3,密云县县城,咖啡厅
184179852,星巴克（北京中粮置地广场店）,4.2,雍和宫/地坛,咖啡厅
41403561,星巴克（北京环球贸易中心2店）,4.1,安贞,咖啡厅
50854043,星巴克（北京惠新东街店）,4.3,对外经贸,咖啡厅
1002472189,星巴克（北京理想汽车研发总部店）,4.2,顺义区,咖啡厅
283413,星巴克（北京华贸店）,4.3,大望路,咖啡厅
175379932,星巴克臻选（北京金宝汇店）,4.4,王府井/东单,咖啡厅
811856546,星巴克（北京市潘家园旧货市场店）,4.4,劲松/潘家园,咖啡厅
6338485,星巴克（腾达大厦店）,4.3,紫竹桥,咖啡厅
184327530,星巴克（龙域中街昌发展万科店）,4.2,回龙观,咖啡厅
191114264,星巴克（北京灯市口天客隆店）,4.3,王府井/东单,咖啡厅
1219952934,星巴克（北京石景山中海大厦店）,4.1,古城/八角,咖啡厅
1973162020,星巴克（北京上地华联店）,4.4,上地,咖啡厅
1247674905,星巴克（北京益园文创基地店）,4.1,四季青,咖啡厅
40385992,星巴克（新顺南大街店）,4.3,顺义城区,咖啡厅
1655755,星巴克（北辰西路店）,4.2,鸟巢/水立方,咖啡厅
771314863,星巴克（北京和平里东街NOW店）,4.3,和平里/国展中心,咖啡厅
40670860,星巴克（北京建国路店）,4.2,大望路,咖啡厅
179542776,星巴克（北京万科时代广场店）,4.3,十里堡,咖啡厅
1428117112,星巴克（北京京东总部一期店）,4.4,次渠,咖啡厅
5278812,星巴克（远洋未来广场店）,3.9,亚运村,咖啡厅
1457682522,星巴克（北京橡树澜湾店）,4.6,卢沟桥,咖啡厅
191995790,星巴克（北京大兴泰禾店）,4.3,黄村,咖啡厅
194957231,星巴克（北京后沙峪国门智慧城店）,4.3,首都机场/机场路,咖啡厅
1992831411,星巴克臻选（北京市好世界商业广场店）,4.3,朝阳公园/团结湖,咖啡厅
652089316,星巴克（北京德外合生财富广场店）,4.0,德外大街,咖啡厅
42467337,星巴克（北京新源南路店）,4.3,亮马桥/三元桥,咖啡厅
547394949,星巴克（北京官舍万科公园五号店）,4.4,甜水园,咖啡厅
295169,星巴克（新中街瑞士公寓店）,3.9,三里屯/工体,咖啡厅
157180654,星巴克（国贸商城三店）,4.4,国贸/建外,咖啡厅
5709624,星巴克（北京嘉盛SOHO中心店）,4.1,朝阳公园/团结湖,咖啡厅
1656387702,星巴克（北京市财源国际中心店）,4.4,建外大街,咖啡厅
2860206,星巴克（天畅园店）,4.0,北苑家园,咖啡厅
932547723,星巴克（北京泛海国际商街店）,4.6,姚家园,咖啡厅
1699983016,星巴克（北京金融街购物中心店）,4.1,金融街,咖啡厅
193086006,星巴克（北京科技财富中心店）,4.3,五道口,咖啡厅
6274172,星巴克（北京南站第七店）,4.1,北京南站/开阳里,咖啡厅
155804332,星巴克（北京西单北大街店）,4.4,西单,咖啡厅
84202205,星巴克（北京上地东路店）,4.3,上地,咖啡厅
551001534,星巴克（中关村智诚科创大厦店）,4.3,清河,咖啡厅
835642036,星巴克（北京小米科技园1店）,4.4,上地,咖啡厅
159484662,星巴克臻选（北京嘉里中心第二店）,4.4,国贸/建外,咖啡厅
187619125,星巴克（北京麒麟社店）,4.5,望京,咖啡厅
991034531,星巴克（北京福庭大厦店）,4.1,建外大街,咖啡厅
40726176,星巴克（北京三里屯SOHO一店）,4.3,三里屯/工体,咖啡厅
523608461,星巴克（北京中国尊1店）,4.0,国贸/建外,咖啡厅
179958224,星巴克（北京久敬庄路店）,4.4,旧宫,咖啡厅
195574586,星巴克（北京集成电路店）,4.3,西北旺,咖啡厅
1121945560,星巴克（北京劲松富顿中心店）,4.0,劲松/潘家园,咖啡厅
1460336730,星巴克（北京凯德大峡谷店）,3.9,马家堡/角门,咖啡厅
306162,星巴克臻选（北京银泰店）,4.4,国贸/建外,咖啡厅
88228730,星巴克（北京清河营南街店）,4.4,北苑家园,咖啡厅
159608506,星巴克臻选（国贸商城四店）,4.5,国贸/建外,咖啡厅
1649067,星巴克（北京西大望路温特莱店）,4.5,大望路,咖啡厅
586080,星巴克（北京庄胜崇光店）,4.2,宣武门,咖啡厅
975853935,星巴克（北京永丰悦界店）,4.0,上庄,咖啡厅
1988134901,星巴克（北京远洋北苑中心店）,4.1,立水桥,咖啡厅
6072949,星巴克（北京万通中心店）,4.3,朝外大街,咖啡厅
1986243776,星巴克（北京东升国际科技园店）,4.2,清河,咖啡厅
175383514,星巴克（北京光华路第二店）,4.1,建外大街,咖啡厅
1742339688,星巴克（北京万+MALL店）,4.1,管庄,咖啡厅
41874661,星巴克（北京雍和大厦店）,4.2,安定门,咖啡厅
4916847,星巴克臻选（北京凤凰汇店）,4.4,亮马桥/三元桥,咖啡厅
1026064706,星巴克（北京兆泰国际中心店）,4.4,朝外大街,咖啡厅
159148687,星巴克（西直门外大街店）,4.3,西直门/动物园,咖啡厅
1846651883,星巴克（北京西海国际中心店）,3.9,苏州桥,咖啡厅
630360446,星巴克（北京芳草地大厦二店）,4.2,朝外大街,咖啡厅
633078650,星巴克（北京昌平阳光商厦店）,4.1,昌平镇,咖啡厅
1714303576,星巴克（北京唐家岭店）,3.8,西北旺,咖啡厅
153728504,星巴克（北京酒仙桥路店）,4.3,酒仙桥,咖啡厅
351443,星巴克（北京国展天虹店）,4.3,左家庄,咖啡厅
4043951,星巴克（北京复兴路店）,4.2,公主坟/万寿路,咖啡厅
1502763987,星巴克（北京汉威三期店）,4.3,世界公园,咖啡厅
192878422,星巴克（浦项中心店）,4.2,望京,咖啡厅
561815871,星巴克（北京广安门高新大厦店）,4.6,广外大街,咖啡厅
826961820,星巴克（北京汇龙森店）,4.1,亦庄,咖啡厅
290818,星巴克（北京世茂大厦店）,4.2,大望路,咖啡厅
6913426,星巴克（中海国际大厦店）,4.2,阜成门,咖啡厅
6167478,星巴克（北京望京西路店）,4.3,望京,咖啡厅
175358210,星巴克（北京东三环北路第三店）,4.4,朝外大街,咖啡厅
175357823,星巴克（北京南四环西路店）,4.4,总部基地,咖啡厅
296060,星巴克（北京望京店）,4.2,望京,咖啡厅
1256200932,星巴克（北京华贸天地西区店）,4.3,北苑家园,咖啡厅
1496540710,星巴克（北京世纪金源大酒店店）,4.4,远大路,咖啡厅
196004375,星巴克（北京通厦公元99店）,4.5,清河,咖啡厅
745474028,星巴克（北京旭阳科技大厦店）,4.3,世界公园,咖啡厅
98225776,星巴克（北京西小口路店）,4.3,清河,咖啡厅
1986143652,星巴克（北京悦茂购物中心店）,4.5,清河,咖啡厅
1782910582,星巴克（北京NTP新城广场店）,4.3,方庄/蒲黄榆,咖啡厅
175379932,星巴克臻选（北京金宝汇店）,4.4,王府井/东单,咖啡厅
191114264,星巴克（北京灯市口天客隆店）,4.3,王府井/东单,咖啡厅
157180654,星巴克（国贸商城三店）,4.4,国贸/建外,咖啡厅
273477,星巴克（北京国航大厦店）,4.3,亮马桥/三元桥,咖啡厅
1069422176,星巴克（晋商联合大厦店）,4.3,丽泽桥/丰管路,咖啡厅
175372004,星巴克（北京陈家营西路店）,4.2,昌平区,咖啡厅
542373384,星巴克（北京上海沙龙店）,4.2,亦庄,咖啡厅
174849023,星巴克（北京亚运村华堂店）,4.2,亚运村,咖啡厅
4953780,星巴克（北京上地三街店）,4.3,上地,咖啡厅
1646029,星巴克（北京金汇路世界城店）,4.2,朝外大街,咖啡厅
263787,星巴克（北京丽都店）,4.3,酒仙桥,咖啡厅
1383990902,星巴克（北京长峰假日酒店店）,4.4,五棵松,咖啡厅
1960662321,星巴克（北京市丰科中心店）,4.4,世界公园,咖啡厅
507815035,星巴克（北京首开LONG街店）,4.4,昌平区,咖啡厅
194156235,星巴克臻选（北京酒仙桥路第二店）,4.3,酒仙桥,咖啡厅
62358301,星巴克（北京复兴门内店）,4.0,复兴门,咖啡厅
536540,星巴克（鹏景阁店）,4.3,望京,咖啡厅
155804332,星巴克（北京西单北大街店）,4.4,西单,咖啡厅
932547723,星巴克（北京泛海国际商街店）,4.6,姚家园,咖啡厅
593855706,星巴克（北京雍贵中心店）,3.9,崇文门,咖啡厅
1355275228,星巴克（北京惠通时代广场园区店）,4.4,朝阳大悦城,咖啡厅
1051174673,星巴克（北京望京万科时代中心店）,4.3,望京,咖啡厅
70359541,星巴克（北京方庄通润商务会馆店）,4.1,方庄/蒲黄榆,咖啡厅
1757526155,星巴克（北京通华业商业中心店）,3.9,梨园,咖啡厅
1409474023,星巴克（北京芳圆里1店）,4.0,朝阳区,咖啡厅
5254927,星巴克（北京新辰里购物中心店）,4.2,亚运村,咖啡厅
175358010,星巴克（北京荣华南路店）,4.4,亦庄,咖啡厅
1172833189,星巴克（北京丰体时代物美店）,4.6,北大地/万丰路,咖啡厅
160132630,星巴克（北京阜安路店）,4.3,望京,咖啡厅
85908979,星巴克（北京北四环东路Ⅱ店）,4.3,望京,咖啡厅
871303316,星巴克（北京枫尚奥莱店）,4.4,管庄,咖啡厅
1273304808,星巴克（北京理想国际大厦店）,4.3,中关村,咖啡厅
263788,星巴克（北京百盛店）,4.0,复兴门,咖啡厅
179689130,星巴克（北京盈科中心店）,4.3,朝阳公园/团结湖,咖啡厅
760910209,星巴克（北京市国电投店）,3.6,德外大街,咖啡厅
1879484826,星巴克（北京市贯通大厦店）,3.9,学院桥/学院路,咖啡厅
523608461,星巴克（北京中国尊1店）,4.0,国贸/建外,咖啡厅
1118152689,星巴克（北京头条总部店）,3.2,大钟寺,咖啡厅
1452481820,星巴克（北京草桥上品店）,3.9,马家堡/角门,咖啡厅
295169,星巴克（新中街瑞士公寓店）,3.9,三里屯/工体,咖啡厅
267401,星巴克（北京财富购物中心店）,4.3,国贸/建外,咖啡厅
507908524,星巴克（北京中国人寿金融中心店）,3.8,大望路,咖啡厅
1248699638,星巴克（北京顺义国泰店）,4.2,顺义城区,咖啡厅
175359765,星巴克（北京望京东路店）,4.2,望京,咖啡厅
159484662,星巴克臻选（北京嘉里中心第二店）,4.4,国贸/建外,咖啡厅
651141991,星巴克臻选（北京达美中心店）,4.3,朝阳大悦城,咖啡厅
6072949,星巴克（北京万通中心店）,4.3,朝外大街,咖啡厅
1359943570,星巴克（北京京东二期NOW店）,4.0,亦庄,咖啡厅
991034531,星巴克（北京福庭大厦店）,4.1,建外大街,咖啡厅
306162,星巴克臻选（北京银泰店）,4.4,国贸/建外,咖啡厅
6913426,星巴克（中海国际大厦店）,4.2,阜成门,咖啡厅
192878422,星巴克（浦项中心店）,4.2,望京,咖啡厅
1248488149,星巴克（北京财富中心4店）,4.3,国贸/建外,咖啡厅
1656387702,星巴克（北京市财源国际中心店）,4.4,建外大街,咖啡厅
1148250577,星巴克（北京电子城国电总部店）,4.4,酒仙桥,咖啡厅
175383514,星巴克（北京光华路第二店）,4.1,建外大街,咖啡厅
6333240,星巴克（北京霄云路店）,4.3,亮马桥/三元桥,咖啡厅
175353468,星巴克（兴业银行店）,4.4,朝外大街,咖啡厅
192720103,星巴克（北京汉威国际广场1店）,4.3,总部基地,咖啡厅
118048893,星巴克臻选（北京三里屯旗舰店）,4.2,三里屯/工体,咖啡厅
1647004,星巴克（北京环球金融中心店）,4.0,国贸/建外,咖啡厅
1122256245,星巴克（北京力宝华联店）,4.1,亦庄,咖啡厅
1736792084,星巴克（北京大悦春风里丰台店）,4.3,新宫,咖啡厅
1253671179,星巴克（北京华天大厦店）,4.4,首都博物馆/莲花池东路,咖啡厅
196004375,星巴克（北京通厦公元99店）,4.5,清河,咖啡厅
1947036692,星巴克（北京双清路店）,4.1,五道口,咖啡厅
1793170443,星巴克（北京三里屯soho二店）,3.8,三里屯/工体,咖啡厅
1398546615,星巴克臻选（北京万柳华联Mall店）,4.5,万柳,咖啡厅
160385099,星巴克臻选（北京首都机场11店）,4.4,首都机场,咖啡厅
1256200932,星巴克（北京华贸天地西区店）,4.3,北苑家园,咖啡厅
1273304808,星巴克（北京理想国际大厦店）,4.3,中关村,咖啡厅
6676203,星巴克（北京崇文门外第一店）,4.2,崇文门,咖啡厅
175355687,星巴克（北京酒仙桥路第三店）,4.3,酒仙桥,咖啡厅
928653057,星巴克臻选（北京远洋光华国际店）,4.3,朝外大街,咖啡厅
630360446,星巴克（北京芳草地大厦二店）,4.2,朝外大街,咖啡厅
150041019,星巴克（北京新世界女子百货店）,4.2,崇文门,咖啡厅
6594396,星巴克（北京远大路第三店）,4.2,远大路,咖啡厅
71967300,星巴克（北京朝北大悦城三店）,4.4,青年路,咖啡厅
1026064706,星巴克（北京兆泰国际中心店）,4.4,朝外大街,咖啡厅
1211338919,星巴克（北京亦生活广场店）,4.3,大兴区,咖啡厅
722459748,星巴克（北京丽景园商街店）,4.2,草房,咖啡厅
175358425,星巴克臻选（北京市北京坊店）,4.5,前门/大栅栏,咖啡厅
